project	bug	formula	rank_best_case	rank_average_case	rank_worst_case
Chart	15	tarantula	31.6666666666667	34.5	7344.5
Chart	16	barinel	2	4.5	4.5
Chart	16	dstar2	1	1.5	42
Chart	16	ochiai	1	1.5	37.5
Chart	16	opt2	1	1.5	42
Chart	16	tarantula	2	4.5	4.5
Chart	17	barinel	2	2	2
Chart	17	dstar2	2	2	2
Chart	17	ochiai	2	2	2
Chart	17	opt2	2	2	2
Chart	17	tarantula	2	2	2
Chart	18	barinel	2.625	10.5	10.5
Chart	18	dstar2	4.5	11	13
Chart	18	ochiai	4.5	11	13
Chart	18	opt2	4.5	28	30
Chart	18	tarantula	2.625	10.5	10.5
Chart	19	barinel	2.33333333333333	3.5	3.5
Chart	19	dstar2	2.33333333333333	3.5	3.5
Chart	19	ochiai	2.33333333333333	3.5	3.5
Chart	19	opt2	872.333333333333	873.5	873.5
Chart	19	tarantula	2.33333333333333	3.5	3.5
Chart	20	barinel	6	6	6
Chart	20	dstar2	6	6	6
Chart	20	ochiai	6	6	6
Chart	20	opt2	6	6	6
Chart	20	tarantula	6	6	6
Chart	21	barinel	7.75	39	67.5
Chart	21	dstar2	7.75	39	67.5
Chart	21	ochiai	7.75	39	67.5
Chart	21	opt2	7.75	39	67.5
Chart	21	tarantula	7.75	39	67.5
Chart	22	barinel	7.4	18.5	44
Chart	22	dstar2	47.5	83.5	83.5
Chart	22	ochiai	8.5	57.5	81
Chart	22	opt2	57.5	86.5	86.5
Chart	22	tarantula	7.4	18.5	44
Chart	23	barinel	6818.5	6818.5	6818.5
Chart	23	dstar2	6818.5	6818.5	6818.5
Chart	23	ochiai	6818.5	6818.5	6818.5
Chart	23	opt2	6818.5	6818.5	6818.5
Chart	23	tarantula	6818.5	6818.5	6818.5
Chart	24	barinel	3	3	3
Chart	24	dstar2	3	3	3
Chart	24	ochiai	3	3	3
Chart	24	opt2	3	3	3
Chart	24	tarantula	3	3	3
Chart	25	barinel	63.75	1826.5	3525.5
Chart	25	dstar2	3442.25	3623	3741.5
Chart	25	ochiai	3228.25	3516	3741.5
Chart	25	opt2	3442.25	3623	3741.5
Chart	25	tarantula	63.75	1826.5	3525.5
Chart	26	barinel	736.666666666667	738	738
Chart	26	dstar2	138.666666666667	140	140
Chart	26	ochiai	138.666666666667	140	140
Chart	26	opt2	138.666666666667	140	140
Chart	26	tarantula	736.666666666667	738	738
Closure	1	barinel	943	943	943
Closure	1	dstar2	130	130	130
Closure	1	ochiai	253	253	253
Closure	1	opt2	129	129	129
Closure	1	tarantula	943	943	943
Closure	2	barinel	7.5	7.5	7.5
Closure	2	dstar2	7.5	7.5	7.5
Closure	2	ochiai	7.5	7.5	7.5
Closure	2	opt2	7.5	7.5	7.5
Closure	2	tarantula	7.5	7.5	7.5
Closure	3	barinel	298.333333333333	300.5	477.5
Closure	3	dstar2	298.333333333333	300.5	474.5
Closure	3	ochiai	298.333333333333	300.5	474.5
Closure	3	opt2	294.333333333333	296.5	470.5
Closure	3	tarantula	298.333333333333	300.5	477.5
Closure	4	barinel	233	7055.25	13877.5
Closure	4	dstar2	205	7041.25	13877.5
Closure	4	ochiai	205	7041.25	13877.5
Closure	4	opt2	187	9541.5	18896
Closure	4	tarantula	233	7055.25	13877.5
Closure	5	barinel	165	165	165
Closure	5	dstar2	165	165	165
Closure	5	ochiai	165	165	165
Closure	5	opt2	165	165	165
Closure	5	tarantula	165	165	165
Closure	6	barinel	1	14.75	537.5
Closure	6	dstar2	1	15	2780.5
Closure	6	ochiai	1	14.75	2780.5
Closure	6	opt2	4758	5054.5	5418.5
Closure	6	tarantula	1	14.75	537.5
Closure	7	barinel	1.5	1.5	1.5
Closure	7	dstar2	1.5	1.5	1.5
Closure	7	ochiai	1.5	1.5	1.5
Closure	7	opt2	1.5	1.5	1.5
Closure	7	tarantula	1.5	1.5	1.5
Closure	8	barinel	128.25	13220	26310.5
Closure	8	dstar2	128.25	13220	26310.5
Closure	8	ochiai	128.25	13220	26310.5
Closure	8	opt2	128.25	13220	26310.5
Closure	8	tarantula	128.25	13220	26310.5
Closure	9	barinel	1	1283.25	2565.5
Closure	9	dstar2	1	1283.25	2565.5
Closure	9	ochiai	1	1283.25	2565.5
Closure	9	opt2	1	1532.5	3064
Closure	9	tarantula	1	1283.25	2565.5
Closure	10	barinel	163	163	163
Closure	10	dstar2	163	163	163
Closure	10	ochiai	163	163	163
Closure	10	opt2	163	163	163
Closure	10	tarantula	163	163	163
Closure	11	barinel	798	844	890
Closure	11	dstar2	708	754.5	801
Closure	11	ochiai	708	754.5	801
Closure	11	opt2	625	671	717
Closure	11	tarantula	798	844	890
Closure	12	barinel	1153	1153	1153
Closure	12	dstar2	1153	1153	1153
Closure	12	ochiai	1153	1153	1153
Closure	12	opt2	1153	1153	1153
Closure	12	tarantula	1153	1153	1153
Closure	13	barinel	6317.5	6328	6328
Closure	13	dstar2	6317.5	6328	6328
Closure	13	ochiai	6317.5	6328	6328
Closure	13	opt2	6317.5	6328	6328
Closure	13	tarantula	6317.5	6328	6328
Closure	14	barinel	5.5	5.5	5.5
Closure	14	dstar2	1.5	1.5	1.5
Closure	14	ochiai	3.5	3.5	3.5
Closure	14	opt2	1.5	1.5	1.5
Closure	14	tarantula	5.5	5.5	5.5
Closure	15	barinel	199.333333333333	200	200
Closure	15	dstar2	199.333333333333	200	200
Closure	15	ochiai	199.333333333333	200	200
Closure	15	opt2	199.333333333333	200	200
Closure	15	tarantula	199.333333333333	200	200
Closure	16	barinel	221	230	34887.5
Closure	16	dstar2	103.8	115.5	34887.5
Closure	16	ochiai	119	125	34887.5
Closure	16	opt2	4	10	34887.5
Closure	16	tarantula	221	230	34887.5
Closure	17	barinel	3	3.5	4
Closure	17	dstar2	3	3.5	4
Closure	17	ochiai	3	3.5	4
Closure	17	opt2	3	3.5	4
Closure	17	tarantula	3	3.5	4
Closure	18	barinel	2640	2640	2640
Closure	18	dstar2	2640	2640	2640
Closure	18	ochiai	2640	2640	2640
Closure	18	opt2	2640	2640	2640
Closure	18	tarantula	2640	2640	2640
Closure	19	barinel	1.5	1.5	1.5
Closure	19	dstar2	1.5	1.5	1.5
Closure	19	ochiai	1.5	1.5	1.5
Closure	19	opt2	1.5	1.5	1.5
Closure	19	tarantula	1.5	1.5	1.5
Closure	20	barinel	20	20	20
Closure	20	dstar2	20	20	20
Closure	20	ochiai	20	20	20
Closure	20	opt2	20	20	20
Closure	20	tarantula	20	20	20
Closure	21	barinel	2	8	27138.5
Closure	21	dstar2	2	8	27138.5
Closure	21	ochiai	2	8	27138.5
Closure	21	opt2	2	8	27138.5
Closure	21	tarantula	2	8	27138.5
Closure	22	barinel	1.5	7.5	27143.5
Closure	22	dstar2	1.5	7.5	27143.5
Closure	22	ochiai	1.5	7.5	27143.5
Closure	22	opt2	1.5	7.5	27143.5
Closure	22	tarantula	1.5	7.5	27143.5
Closure	23	barinel	6	5583	11160
Closure	23	dstar2	6	5583	11160
Closure	23	ochiai	6	5583	11160
Closure	23	opt2	6	3217.75	6429.5
Closure	23	tarantula	6	5583	11160
Closure	24	barinel	1	36.5	45
Closure	24	dstar2	1	36.5	45
Closure	24	ochiai	1	36.5	45
Closure	24	opt2	1	36.5	45
Closure	24	tarantula	1	36.5	45
Closure	25	barinel	111	202	216.5
Closure	25	dstar2	111	202	216.5
Closure	25	ochiai	111	202	216.5
Closure	25	opt2	111	202	216.5
Closure	25	tarantula	111	202	216.5
Closure	26	barinel	29.3333333333333	37.5	20553.5
Closure	26	dstar2	17.3333333333333	25.5	20553.5
Closure	26	ochiai	17.3333333333333	25.5	20553.5
Closure	26	opt2	16.3333333333333	24.5	11634
Closure	26	tarantula	29.3333333333333	37.5	20553.5
Closure	27	barinel	3.66666666666667	309.25	1710
Closure	27	dstar2	4	311	1710
Closure	27	ochiai	4	311	1710
Closure	27	opt2	12	122.25	1710
Closure	27	tarantula	3.66666666666667	309.25	1710
Closure	28	barinel	28722.5	28722.5	28722.5
Closure	28	dstar2	28722.5	28722.5	28722.5
Closure	28	ochiai	28722.5	28722.5	28722.5
Closure	28	opt2	28722.5	28722.5	28722.5
Closure	28	tarantula	28722.5	28722.5	28722.5
Closure	29	barinel	569.666666666667	885.5	46991
Closure	29	dstar2	376	434.5	46991
Closure	29	ochiai	415	470.5	46991
Closure	29	opt2	193	4221.5	46991
Closure	29	tarantula	569.666666666667	885.5	46991
Closure	30	barinel	260	489.25	1039
Closure	30	dstar2	237	452.75	960
Closure	30	ochiai	239	457.5	960
Closure	30	opt2	108	301.5	776
Closure	30	tarantula	260	493.5	1039
Closure	31	barinel	2159.5	2159.5	2159.5
Closure	31	dstar2	2159.5	2159.5	2159.5
Closure	31	ochiai	2159.5	2159.5	2159.5
Closure	31	opt2	2159.5	2159.5	2159.5
Closure	31	tarantula	2159.5	2159.5	2159.5
Closure	32	barinel	33	75	30546.5
Closure	32	dstar2	25	68	30546.5
Closure	32	ochiai	25	68	30546.5
Closure	32	opt2	25	57	30546.5
Closure	32	tarantula	33	75	30546.5
Closure	33	barinel	348.5	348.5	348.5
Closure	33	dstar2	348.5	348.5	348.5
Closure	33	ochiai	348.5	348.5	348.5
Closure	33	opt2	348.5	348.5	348.5
Closure	33	tarantula	348.5	348.5	348.5
Closure	34	barinel	7.5	2129	2129
Closure	34	dstar2	7.5	2129	2129
Closure	34	ochiai	7.5	2129	2129
Closure	34	opt2	7.5	2277.5	3429
Closure	34	tarantula	7.5	2129	2129
Closure	35	barinel	7	13182	13182
Closure	35	dstar2	7	13182	13182
Closure	35	ochiai	7	13182	13182
Closure	35	opt2	7	13685	13685
Closure	35	tarantula	7	13182	13182
Closure	36	barinel	1145.75	1164.5	1164.5
Closure	36	dstar2	1145.75	1164.5	1164.5
Closure	36	ochiai	1145.75	1164.5	1164.5
Closure	36	opt2	1145.75	1164.5	1164.5
Closure	36	tarantula	1145.75	1164.5	1164.5
Closure	37	barinel	1106.5	1134.5	1134.5
Closure	37	dstar2	1106.5	1134.5	1134.5
Closure	37	ochiai	1106.5	1134.5	1134.5
Closure	37	opt2	1106.5	1134.5	1134.5
Closure	37	tarantula	1106.5	1134.5	1134.5
Closure	38	barinel	57.5	57.5	57.5
Closure	38	dstar2	57.5	57.5	57.5
Closure	38	ochiai	57.5	57.5	57.5
Closure	38	opt2	57.5	57.5	57.5
Closure	38	tarantula	57.5	57.5	57.5
Closure	39	barinel	4.5	10	10
Closure	39	dstar2	6	10	10
Closure	39	ochiai	6	10	10
Closure	39	opt2	4.66666666666667	6	858
Closure	39	tarantula	4.5	10	10
Closure	40	barinel	133.666666666667	135.5	135.5
Closure	40	dstar2	133.666666666667	135.5	135.5
Closure	40	ochiai	133.666666666667	135.5	135.5
Closure	40	opt2	38.6666666666667	40.5	40.5
Closure	40	tarantula	133.666666666667	135.5	135.5
Closure	41	barinel	487	685.25	882
Closure	41	dstar2	461	659.75	857
Closure	41	ochiai	461	659.75	857
Closure	41	opt2	439	635.75	831
Closure	41	tarantula	487	685.25	882
Closure	42	barinel	1.16666666666667	3.5	3.5
Closure	42	dstar2	1.16666666666667	3.5	3.5
Closure	42	ochiai	1.16666666666667	3.5	3.5
Closure	42	opt2	1.16666666666667	3.5	3.5
Closure	42	tarantula	1.16666666666667	3.5	3.5
Closure	43	barinel	324.5	1405.25	2486
Closure	43	dstar2	248.5	1358.75	2469
Closure	43	ochiai	248.5	1358.75	2469
Closure	43	opt2	221.5	1266.25	2311
Closure	43	tarantula	324.5	1405.25	2486
Closure	44	barinel	239	239	239
Closure	44	dstar2	239	239	239
Closure	44	ochiai	239	239	239
Closure	44	opt2	239	239	239
Closure	44	tarantula	239	239	239
Closure	45	barinel	188	349	388
Closure	45	dstar2	188	349	388
Closure	45	ochiai	188	349	388
Closure	45	opt2	188	349	388
Closure	45	tarantula	188	349	388
Closure	46	barinel	17	24	5676
Closure	46	dstar2	1	8	5676
Closure	46	ochiai	1	8	5676
Closure	46	opt2	1	8	5676
Closure	46	tarantula	17	24	5676
Closure	47	barinel	85.3333333333334	375.5	623
Closure	47	dstar2	290.666666666667	377	436
Closure	47	ochiai	277.666666666667	372.5	440
Closure	47	opt2	248	2149.5	4034
Closure	47	tarantula	85.3333333333334	375.5	623
Closure	48	barinel	159	160	1097.5
Closure	48	dstar2	159	160	1097.5
Closure	48	ochiai	159	160	1097.5
Closure	48	opt2	159	160	1097.5
Closure	48	tarantula	159	160	1097.5
Closure	49	barinel	1915	2125.5	2533
Closure	49	dstar2	1209	1291.5	1562
Closure	49	ochiai	1299	1397.5	1671
Closure	49	opt2	98.6666666666667	239	3797.5
Closure	49	tarantula	1915	2124.5	2533
Closure	50	barinel	103	103	265.5
Closure	50	dstar2	84	84	253.5
Closure	50	ochiai	97	97	253.5
Closure	50	opt2	84	84	200.5
Closure	50	tarantula	103	103	265.5
Closure	51	barinel	57.5	57.5	57.5
Closure	51	dstar2	57.5	57.5	57.5
Closure	51	ochiai	57.5	57.5	57.5
Closure	51	opt2	57.5	57.5	57.5
Closure	51	tarantula	57.5	57.5	57.5
Closure	52	barinel	15	15	15
Closure	52	dstar2	15	15	15
Closure	52	ochiai	15	15	15
Closure	52	opt2	15	15	15
Closure	52	tarantula	15	15	15
Closure	53	barinel	52.5	52.5	52.5
Closure	53	dstar2	52.5	52.5	52.5
Closure	53	ochiai	52.5	52.5	52.5
Closure	53	opt2	52.5	52.5	52.5
Closure	53	tarantula	52.5	52.5	52.5
Closure	54	barinel	29	5799	5799
Closure	54	dstar2	27	5504	5504
Closure	54	ochiai	27	5504	5504
Closure	54	opt2	11	4045	4045
Closure	54	tarantula	29	5799	5799
Closure	55	barinel	364	364	364
Closure	55	dstar2	364	364	364
Closure	55	ochiai	364	364	364
Closure	55	opt2	364	364	364
Closure	55	tarantula	364	364	364
Closure	56	barinel	49	49	49
Closure	56	dstar2	45	45	45
Closure	56	ochiai	45	45	45
Closure	56	opt2	1	1	1
Closure	56	tarantula	49	49	49
Closure	57	barinel	5	5	5
Closure	57	dstar2	5	5	5
Closure	57	ochiai	5	5	5
Closure	57	opt2	5	5	5
Closure	57	tarantula	5	5	5
Closure	58	barinel	5.5	5.5	5.5
Closure	58	dstar2	5.5	5.5	5.5
Closure	58	ochiai	5.5	5.5	5.5
Closure	58	opt2	5.5	5.5	5.5
Closure	58	tarantula	5.5	5.5	5.5
Closure	59	barinel	9286	9286	9286
Closure	59	dstar2	9286	9286	9286
Closure	59	ochiai	9286	9286	9286
Closure	59	opt2	9286	9286	9286
Closure	59	tarantula	9286	9286	9286
Closure	60	barinel	19.5	19.5	21094.5
Closure	60	dstar2	14	14	21094.5
Closure	60	ochiai	14	14	21094.5
Closure	60	opt2	1	1	27993
Closure	60	tarantula	19.5	19.5	21094.5
Closure	61	barinel	94	95	95
Closure	61	dstar2	86	87	87
Closure	61	ochiai	86	87	87
Closure	61	opt2	84	85	85
Closure	61	tarantula	94	95	95
Closure	62	barinel	3	3	3
Closure	62	dstar2	3	3	3
Closure	62	ochiai	3	3	3
Closure	62	opt2	3	3	3
Closure	62	tarantula	3	3	3
Closure	63	barinel	3	3	3
Closure	63	dstar2	3	3	3
Closure	63	ochiai	3	3	3
Closure	63	opt2	3	3	3
Closure	63	tarantula	3	3	3
Closure	64	barinel	1531.5	10939.75	38172
Closure	64	dstar2	1531.5	10939.75	38172
Closure	64	ochiai	1531.5	10939.75	38172
Closure	64	opt2	1531.5	16162.75	38172
Closure	64	tarantula	1531.5	10939.75	38172
Closure	65	barinel	1	1	1
Closure	65	dstar2	1	1	1
Closure	65	ochiai	1	1	1
Closure	65	opt2	1	1	1
Closure	65	tarantula	1	1	1
Closure	66	barinel	328	328	328
Closure	66	dstar2	301	301	301
Closure	66	ochiai	301	301	301
Closure	66	opt2	199	199	199
Closure	66	tarantula	328	328	328
Closure	67	barinel	233.333333333333	234	234
Closure	67	dstar2	233.333333333333	234	234
Closure	67	ochiai	233.333333333333	234	234
Closure	67	opt2	233.333333333333	234	234
Closure	67	tarantula	233.333333333333	234	234
Closure	68	barinel	3	44	76.5
Closure	68	dstar2	3	44	76.5
Closure	68	ochiai	3	44	76.5
Closure	68	opt2	3	44	76.5
Closure	68	tarantula	3	44	76.5
Closure	69	barinel	403.333333333333	405.5	405.5
Closure	69	dstar2	224.333333333333	226.5	226.5
Closure	69	ochiai	224.333333333333	226.5	226.5
Closure	69	opt2	11.3333333333333	13.5	13.5
Closure	69	tarantula	403.333333333333	405.5	405.5
Closure	70	barinel	579	579	579
Closure	70	dstar2	431	431	431
Closure	70	ochiai	431	431	431
Closure	70	opt2	153	153	153
Closure	70	tarantula	579	579	579
Closure	71	barinel	73	73	73
Closure	71	dstar2	70	70	70
Closure	71	ochiai	70	70	70
Closure	71	opt2	51	51	51
Closure	71	tarantula	73	73	73
Closure	72	barinel	253.25	5843.75	11420
Closure	72	dstar2	253.25	5843.75	11420
Closure	72	ochiai	253.25	5843.75	11420
Closure	72	opt2	253.25	6774.5	13281.5
Closure	72	tarantula	253.25	5843.75	11420
Closure	73	barinel	21	21	21
Closure	73	dstar2	21	21	21
Closure	73	ochiai	21	21	21
Closure	73	opt2	21	21	21
Closure	73	tarantula	21	21	21
Closure	74	barinel	198	202	23872.5
Closure	74	dstar2	39.3333333333333	41	23872.5
Closure	74	ochiai	76.3333333333333	78	23872.5
Closure	74	opt2	9.33333333333333	11	23872.5
Closure	74	tarantula	193.333333333333	195	23872.5
Closure	75	barinel	6.5	34	34
Closure	75	dstar2	6.5	34	34
Closure	75	ochiai	6.5	34	34
Closure	75	opt2	6.5	34	34
Closure	75	tarantula	6.5	34	34
Closure	76	barinel	132	165.5	23331.5
Closure	76	dstar2	121	137	23331.5
Closure	76	ochiai	123	149	23331.5
Closure	76	opt2	82	97	23331.5
Closure	76	tarantula	132	165.5	23331.5
Closure	77	barinel	20.5	20.5	20.5
Closure	77	dstar2	20.5	20.5	20.5
Closure	77	ochiai	20.5	20.5	20.5
Closure	77	opt2	20.5	20.5	20.5
Closure	77	tarantula	20.5	20.5	20.5
Closure	78	barinel	1.5	4849.75	9698
Closure	78	dstar2	1.5	4849.75	9698
Closure	78	ochiai	1.5	4849.75	9698
Closure	78	opt2	1.5	3282.25	6563
Closure	78	tarantula	1.5	4849.75	9698
Closure	79	barinel	44.6666666666667	1382.5	2715
Closure	79	dstar2	41.6666666666667	1399.75	2753
Closure	79	ochiai	41.6666666666667	1399.75	2753
Closure	79	opt2	2308.66666666667	2533.25	2753
Closure	79	tarantula	44.6666666666667	1382.5	2715
Closure	80	barinel	27	77.5	128
Closure	80	dstar2	30	84.5	139
Closure	80	ochiai	30	84.5	139
Closure	80	opt2	1413	1461	1509
Closure	80	tarantula	27	77.5	128
Closure	81	barinel	20.5	20.5	20.5
Closure	81	dstar2	20.5	20.5	20.5
Closure	81	ochiai	20.5	20.5	20.5
Closure	81	opt2	20.5	20.5	20.5
Closure	81	tarantula	20.5	20.5	20.5
Closure	82	barinel	2793	2793	2793
Closure	82	dstar2	763	763	763
Closure	82	ochiai	763	763	763
Closure	82	opt2	385	385	385
Closure	82	tarantula	2793	2793	2793
Closure	83	barinel	10	10	10
Closure	83	dstar2	10	10	10
Closure	83	ochiai	10	10	10
Closure	83	opt2	10	10	10
Closure	83	tarantula	10	10	10
Closure	84	barinel	36.3333333333333	3004.5	7075.5
Closure	84	dstar2	36.3333333333333	3004.5	7075.5
Closure	84	ochiai	36.3333333333333	3004.5	7075.5
Closure	84	opt2	36.3333333333333	4171	7075.5
Closure	84	tarantula	36.3333333333333	3004.5	7075.5
Closure	85	barinel	177.75	347	9281
Closure	85	dstar2	173.5	252.5	9281
Closure	85	ochiai	173.5	257	9281
Closure	85	opt2	87.5	160	10877
Closure	85	tarantula	177.75	347	9281
Closure	86	barinel	16	16	16
Closure	86	dstar2	2	2	2
Closure	86	ochiai	2	2	2
Closure	86	opt2	1	1	1
Closure	86	tarantula	16	16	16
Closure	87	barinel	165.333333333333	166.5	166.5
Closure	87	dstar2	165.333333333333	166.5	166.5
Closure	87	ochiai	165.333333333333	166.5	166.5
Closure	87	opt2	165.333333333333	166.5	166.5
Closure	87	tarantula	165.333333333333	166.5	166.5
Closure	88	barinel	217.5	217.5	217.5
Closure	88	dstar2	71.5	71.5	71.5
Closure	88	ochiai	71.5	71.5	71.5
Closure	88	opt2	71.5	71.5	71.5
Closure	88	tarantula	217.5	217.5	217.5
Closure	89	barinel	166	219.5	270.5
Closure	89	dstar2	171.5	451.5	731.5
Closure	89	ochiai	176.5	445	713.5
Closure	89	opt2	143.5	1953	3762.5
Closure	89	tarantula	166	219.5	270.5
Closure	90	barinel	22.5	1158.75	2295
Closure	90	dstar2	22.5	1158.75	2295
Closure	90	ochiai	22.5	1158.75	2295
Closure	90	opt2	22.5	1145.75	2269
Closure	90	tarantula	22.5	1158.75	2295
Closure	91	barinel	319.5	319.5	319.5
Closure	91	dstar2	319.5	319.5	319.5
Closure	91	ochiai	319.5	319.5	319.5
Closure	91	opt2	319.5	319.5	319.5
Closure	91	tarantula	319.5	319.5	319.5
Closure	92	barinel	92.5	92.5	92.5
Closure	92	dstar2	92.5	92.5	92.5
Closure	92	ochiai	92.5	92.5	92.5
Closure	92	opt2	92.5	92.5	92.5
Closure	92	tarantula	92.5	92.5	92.5
Closure	93	barinel	92.5	92.5	92.5
Closure	93	dstar2	92.5	92.5	92.5
Closure	93	ochiai	92.5	92.5	92.5
Closure	93	opt2	92.5	92.5	92.5
Closure	93	tarantula	92.5	92.5	92.5
Closure	94	barinel	1	1	1
Closure	94	dstar2	1	1	1
Closure	94	ochiai	1	1	1
Closure	94	opt2	1	1	1
Closure	94	tarantula	1	1	1
Closure	95	barinel	1983	1984.5	1984.5
Closure	95	dstar2	1853	1854.5	1854.5
Closure	95	ochiai	1853	1854.5	1854.5
Closure	95	opt2	1346	1347.5	1347.5
Closure	95	tarantula	1983	1984.5	1984.5
Closure	96	barinel	23	25	139
Closure	96	dstar2	23	25	139
Closure	96	ochiai	23	25	139
Closure	96	opt2	23	25	139
Closure	96	tarantula	23	25	139
Closure	97	barinel	16.5	16.5	16.5
Closure	97	dstar2	16.5	16.5	16.5
Closure	97	ochiai	16.5	16.5	16.5
Closure	97	opt2	16.5	16.5	16.5
Closure	97	tarantula	16.5	16.5	16.5
Closure	98	barinel	473.5	21972	21972
Closure	98	dstar2	473.5	21972	21972
Closure	98	ochiai	473.5	21972	21972
Closure	98	opt2	473.5	21972	21972
Closure	98	tarantula	473.5	21972	21972
Closure	99	barinel	23	31.5	54
Closure	99	dstar2	14	128	128
Closure	99	ochiai	16	129	129
Closure	99	opt2	3	2052	2052
Closure	99	tarantula	23	31.5	54
Closure	100	barinel	6	9642.75	19279.5
Closure	100	dstar2	41	9660.25	19279.5
Closure	100	ochiai	7	9643.25	19279.5
Closure	100	opt2	2042	10660.75	19279.5
Closure	100	tarantula	6	9642.75	19279.5
Closure	101	barinel	3696	4460	4460
Closure	101	dstar2	3696	4460	4460
Closure	101	ochiai	3696	4460	4460
Closure	101	opt2	3696	4460	4460
Closure	101	tarantula	3696	4460	4460
Closure	102	barinel	5468.5	5487.25	5506
Closure	102	dstar2	5468.5	5487.25	5506
Closure	102	ochiai	5468.5	5487.25	5506
Closure	102	opt2	5468.5	5487.25	5506
Closure	102	tarantula	5468.5	5487.25	5506
Closure	103	barinel	291	291	5038
Closure	103	dstar2	292	292	5038
Closure	103	ochiai	292	292	5038
Closure	103	opt2	2411	2411	5038
Closure	103	tarantula	291	291	5038
Closure	104	barinel	6	6	6
Closure	104	dstar2	6	6	6
Closure	104	ochiai	6	6	6
Closure	104	opt2	6	6	6
Closure	104	tarantula	6	6	6
Closure	105	barinel	41.5	116.5	116.5
Closure	105	dstar2	41.5	116.5	116.5
Closure	105	ochiai	41.5	116.5	116.5
Closure	105	opt2	41.5	116.5	116.5
Closure	105	tarantula	41.5	116.5	116.5
Closure	106	barinel	18	18	386
Closure	106	dstar2	112	112	310
Closure	106	ochiai	20	20	313
Closure	106	opt2	2097	3123	3123
Closure	106	tarantula	18	18	386
Closure	107	barinel	195.5	195.5	195.5
Closure	107	dstar2	195.5	195.5	195.5
Closure	107	ochiai	195.5	195.5	195.5
Closure	107	opt2	195.5	195.5	195.5
Closure	107	tarantula	195.5	195.5	195.5
Closure	108	barinel	269.285714285714	457.75	33471
Closure	108	dstar2	269.285714285714	457.75	33471
Closure	108	ochiai	269.285714285714	457.75	33471
Closure	108	opt2	269.285714285714	457.75	33471
Closure	108	tarantula	269.285714285714	457.75	33471
Closure	109	barinel	7	7	7
Closure	109	dstar2	7	7	7
